Gender,M,R,F,FirstPurch,BusinessExecutive,Surfer,Yuppie,Hipster,Artist,ClassicGentleman,Rugged,Formal,Casual,Comic,Success
1,260,16,2,18,0,0,1,0,1,0,0,0,0,0,0
0,259,12,5,30,1,0,1,0,0,1,1,0,0,0,0
1,218,16,6,42,1,1,3,1,0,0,0,0,0,0,0
1,143,14,1,14,0,0,0,1,0,0,0,0,0,0,0
1,419,8,11,52,4,0,1,0,1,1,2,1,1,1,1
1,185,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,177,10,9,30,0,1,1,1,1,2,0,1,1,1,0
1,124,8,5,24,1,0,0,0,1,0,0,0,0,0,0
0,431,28,12,68,3,0,3,0,2,1,3,1,1,1,0
1,228,28,8,66,3,0,0,1,2,0,2,0,0,0,0
1,263,24,2,28,0,0,1,0,1,0,0,0,1,0,0
0,286,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,333,12,12,82,2,1,5,0,0,2,1,0,0,0,1
1,269,2,10,56,4,0,1,1,0,0,2,1,0,0,0
0,91,14,1,14,0,0,0,0,0,1,0,0,0,0,0
0,304,16,2,24,0,0,0,1,0,1,0,0,0,0,0
1,247,22,7,58,2,1,2,0,0,0,2,0,0,0,0
0,74,14,2,20,1,0,1,0,0,0,0,0,0,0,0
1,253,14,1,14,0,0,1,0,0,0,0,0,0,0,0
0,249,2,3,8,0,0,0,0,0,0,0,0,0,0,0
0,224,12,2,18,1,0,0,0,0,0,0,0,0,0,1
1,214,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1,48,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,323,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,242,6,4,16,1,0,0,0,0,0,0,0,0,0,0
1,192,14,5,24,1,1,1,0,1,0,1,1,1,0,0
1,186,34,1,34,0,0,0,0,1,0,0,0,0,0,0
0,390,30,9,76,2,0,2,2,2,0,1,0,0,0,0
1,187,10,9,34,4,0,0,0,0,2,1,0,0,1,0
0,242,10,2,14,0,0,0,0,1,0,0,0,0,0,0
1,277,2,5,24,1,0,0,0,0,0,0,0,0,0,0
1,477,12,12,58,2,0,4,3,0,1,1,1,0,0,0
1,225,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,275,20,2,22,1,0,1,0,0,0,0,1,0,0,0
1,151,16,1,16,0,0,0,0,0,0,1,0,0,0,0
0,260,20,2,24,0,1,1,0,0,0,0,1,0,0,0
1,82,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,259,8,12,36,1,0,2,4,1,1,1,0,0,0,0
1,379,24,8,52,5,0,1,0,1,0,1,0,0,0,0
1,421,16,10,56,2,2,2,1,1,1,1,0,0,0,0
1,200,4,5,26,0,1,2,0,0,0,0,0,0,0,0
1,231,16,2,20,1,0,1,0,0,0,0,0,0,0,0
1,162,12,2,18,0,1,0,0,0,0,0,0,0,0,0
1,393,32,8,56,3,1,1,1,1,0,1,0,0,0,0
0,264,2,4,26,0,1,2,0,0,0,0,1,0,0,1
0,372,10,12,44,0,1,3,2,0,2,1,1,0,1,0
1,80,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,381,16,10,72,1,2,2,2,1,0,2,0,0,0,0
1,319,10,10,58,0,1,3,2,0,1,1,2,0,1,0
1,231,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1,67,24,2,32,0,0,1,1,0,0,0,0,0,0,0
1,239,28,2,30,0,0,1,1,0,0,0,0,0,0,0
1,295,10,5,34,1,1,0,0,1,0,0,0,0,0,0
0,127,4,2,12,0,0,0,0,0,0,0,0,0,0,1
1,75,32,1,32,1,0,0,0,0,0,0,0,0,0,0
0,180,16,8,52,2,0,0,2,2,0,2,0,2,0,0
1,202,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,169,34,5,46,0,2,2,0,0,1,0,1,0,1,0
1,71,14,1,14,0,0,1,0,0,0,0,0,0,0,0
0,237,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,40,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1,255,28,1,28,0,0,1,0,0,0,0,0,0,0,0
0,462,2,11,44,2,0,0,1,1,2,1,0,0,0,1
1,68,10,3,20,0,2,0,0,0,0,0,0,0,0,0
1,82,28,3,34,0,1,1,0,0,1,0,0,0,0,0
1,130,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1,302,30,7,66,2,2,1,0,0,1,1,0,0,0,0
1,148,8,9,28,0,1,2,0,0,1,3,0,0,0,0
1,208,20,5,42,2,1,2,0,0,0,0,1,0,0,0
1,258,32,2,40,0,0,0,0,0,2,0,0,0,0,0
1,32,32,2,36,0,0,0,0,2,0,0,0,0,0,0
0,71,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,319,12,5,34,2,0,1,0,0,0,1,0,0,0,0
1,199,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,337,10,6,44,0,1,1,1,0,0,2,1,0,0,0
0,52,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,67,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,62,36,1,36,0,0,0,0,0,0,1,0,0,0,0
1,206,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1,173,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,367,22,7,42,1,0,2,2,0,2,0,1,0,1,0
0,170,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,322,24,2,30,0,0,0,0,0,1,1,0,0,0,0
0,198,12,12,60,2,0,1,2,0,2,4,1,0,1,1
1,198,2,1,2,0,0,0,0,0,0,0,0,0,0,0
0,171,8,2,16,0,0,1,0,0,0,0,0,0,0,0
1,111,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,330,10,6,44,1,0,2,0,1,0,1,0,0,0,0
1,310,14,1,14,0,0,0,0,0,0,0,0,0,0,0
0,148,6,5,36,0,0,2,1,0,1,0,0,0,0,1
0,87,22,2,26,1,0,0,1,0,0,0,0,0,0,0
1,249,2,2,8,0,0,0,0,0,0,0,0,0,0,1
1,118,32,2,34,1,1,0,0,0,0,0,0,0,0,0
1,242,14,12,72,0,2,6,1,1,1,1,0,0,0,0
1,106,6,2,10,0,0,0,0,0,0,0,0,0,0,0
1,93,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1,233,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,288,10,2,12,0,0,0,0,0,0,0,0,0,0,0
1,72,10,2,14,1,0,0,0,0,0,0,0,0,0,0
1,90,14,1,14,0,0,0,0,0,1,0,0,0,0,0
1,332,22,6,50,1,1,1,2,0,0,1,0,0,0,0
1,23,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,215,6,4,26,2,0,0,0,0,1,0,0,0,0,0
1,370,32,11,64,4,1,4,1,1,0,0,0,0,0,0
1,181,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1,237,18,12,82,1,0,7,2,2,0,0,0,0,0,0
1,310,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,36,8,2,16,1,0,0,0,0,0,0,0,0,0,0
0,69,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,321,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1,348,2,7,38,1,1,1,0,1,0,1,0,0,0,0
1,58,14,1,14,0,0,0,0,1,0,0,0,0,0,0
1,107,22,3,30,1,0,1,0,1,0,0,0,1,0,0
1,223,6,8,32,0,0,3,0,0,2,0,1,0,2,0
1,71,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,90,14,2,16,0,0,2,0,0,0,0,1,0,0,0
0,20,34,1,34,1,0,0,0,0,0,0,0,0,0,0
1,279,16,2,22,1,0,0,0,0,0,1,0,0,0,0
1,62,14,1,14,0,0,0,0,1,0,0,0,0,0,0
1,140,10,9,62,0,0,1,2,0,2,3,0,0,0,1
0,206,14,2,18,0,0,2,0,0,0,0,0,0,0,0
1,46,6,2,8,0,0,0,0,0,0,0,0,0,0,0
1,264,16,1,16,0,1,0,0,0,0,0,0,0,0,0
0,210,34,2,42,0,0,2,0,0,0,0,1,0,0,0
1,62,36,2,38,1,0,1,0,0,0,0,0,0,0,0
1,67,4,1,4,0,0,0,0,0,0,0,0,0,0,1
1,446,8,12,42,1,1,2,0,0,1,2,0,0,0,0
1,219,10,7,34,1,0,1,0,0,1,2,1,0,1,1
0,300,10,2,14,0,0,0,1,0,0,0,0,0,0,0
1,173,16,8,56,1,1,2,1,3,0,0,0,0,0,0
1,194,34,10,72,1,2,1,1,0,2,3,1,0,1,0
1,303,12,2,16,0,0,0,0,0,0,1,0,0,0,0
1,131,14,2,22,0,0,0,0,2,0,0,0,0,0,0
0,308,20,12,70,4,0,1,3,1,2,1,0,0,0,0
1,138,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,215,34,2,38,0,0,0,1,0,1,0,0,0,0,0
1,88,10,2,16,0,0,1,0,0,0,0,0,0,0,0
1,291,36,1,36,0,0,1,0,0,0,0,0,0,0,0
1,173,10,8,36,2,1,0,0,1,2,1,0,1,1,0
1,126,10,5,20,1,1,0,1,0,0,0,0,0,0,0
1,398,10,12,68,3,1,3,1,0,1,2,0,0,0,0
1,230,16,12,84,4,0,4,1,1,1,1,2,1,1,0
0,214,14,12,58,3,0,6,1,0,2,0,0,0,0,0
1,344,8,4,28,0,1,0,0,1,0,1,0,0,0,0
0,112,20,2,28,1,0,1,0,0,0,0,0,0,0,0
1,281,2,10,38,2,2,1,1,1,0,2,0,0,0,0
1,295,10,4,32,0,0,0,1,0,1,1,0,0,0,0
0,78,10,5,24,1,0,1,1,0,0,0,0,0,0,0
1,130,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1,265,8,1,8,0,0,0,0,0,0,0,0,0,0,0
0,207,4,2,8,0,0,0,0,0,0,0,0,0,0,0
1,198,10,5,28,1,0,2,0,0,1,0,0,0,0,0
1,176,8,11,64,2,0,2,0,0,2,4,1,0,1,1
1,34,24,1,24,1,0,0,0,0,0,0,0,0,0,0
1,242,16,6,42,3,0,0,1,0,0,2,0,0,0,0
1,272,14,1,14,0,0,1,0,0,0,0,0,0,0,0
0,301,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,192,14,9,62,2,1,0,0,3,0,2,0,1,0,0
1,102,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,60,22,2,28,1,0,1,0,0,0,0,0,0,0,0
1,159,30,5,44,3,1,0,0,0,1,0,0,0,1,0
1,177,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,292,24,6,40,2,0,3,1,0,0,0,0,0,0,0
1,296,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,363,28,10,68,4,0,2,0,0,1,3,0,0,0,0
1,188,10,10,58,1,2,3,0,2,1,0,0,0,0,0
0,265,4,2,8,0,0,0,0,0,0,0,0,0,0,1
1,95,16,2,24,0,0,0,1,0,1,0,0,0,0,0
0,273,14,2,16,0,0,1,0,0,0,0,0,0,0,0
1,207,18,11,54,3,0,2,2,0,2,2,1,0,1,0
1,74,24,1,24,0,0,1,0,0,0,0,0,0,0,0
1,149,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1,223,36,3,48,0,0,1,0,0,0,2,0,0,0,0
1,207,12,2,18,0,0,0,1,0,0,0,0,0,0,0
0,175,8,9,34,1,0,1,0,0,1,3,0,0,0,1
1,58,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,189,22,2,28,1,1,0,0,0,0,0,0,0,0,0
1,128,12,2,18,0,1,0,0,0,0,0,0,0,0,0
1,333,24,10,58,2,1,2,1,1,1,2,1,0,1,0
0,118,14,2,22,1,0,0,1,0,0,0,0,0,0,0
0,123,14,5,34,1,0,2,1,1,0,0,1,1,0,0
1,93,14,2,16,0,0,2,0,0,0,0,1,0,0,0
1,155,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,220,10,2,14,0,1,0,0,0,0,0,0,0,0,0
1,131,2,8,38,1,1,2,1,0,1,0,1,0,0,0
1,108,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,170,14,2,20,1,1,0,0,0,0,0,0,0,0,0
0,267,16,1,16,0,1,0,0,0,0,0,0,0,0,0
1,237,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,278,18,2,20,1,0,1,0,0,0,0,1,0,0,0
1,296,20,1,20,0,0,1,0,0,0,0,0,0,0,0
0,380,26,8,66,1,1,1,0,1,1,3,0,0,0,0
1,253,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,89,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,217,6,6,28,0,1,2,0,0,0,0,0,0,0,0
1,117,10,3,24,0,1,1,0,0,0,0,0,0,0,0
0,253,10,8,54,2,0,2,1,0,1,1,0,0,0,0
1,192,8,1,8,0,0,0,0,0,0,0,0,0,0,0
0,90,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,304,8,4,28,0,0,1,0,0,0,2,1,0,0,1
1,133,16,5,40,1,1,2,0,0,1,0,0,0,0,0
0,262,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,152,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,404,14,11,60,1,1,5,1,1,0,2,1,0,0,0
1,281,16,1,16,0,1,0,0,0,0,0,0,0,0,0
0,320,28,2,34,0,0,0,1,1,0,0,0,0,0,0
1,131,2,4,12,0,0,0,0,0,0,0,0,0,0,1
1,139,4,2,12,0,0,0,0,0,0,0,0,0,0,0
0,68,4,2,10,0,0,0,0,0,0,0,0,0,0,1
1,63,34,2,40,1,0,0,0,0,0,1,0,0,0,0
1,171,16,2,20,0,0,1,0,0,1,0,0,0,0,0
0,370,14,6,30,1,0,2,0,2,0,1,0,0,0,0
1,362,26,9,50,3,1,3,1,0,0,1,0,0,0,0
0,111,2,4,14,0,0,1,0,0,0,0,0,0,0,0
0,40,12,1,12,0,0,0,0,0,0,0,0,0,0,1
1,114,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,195,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,319,12,2,16,0,0,1,0,0,0,0,0,0,0,0
1,195,16,12,52,3,2,4,0,1,1,1,0,0,0,0
1,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0
1,231,2,2,8,0,0,0,0,0,0,0,0,0,0,0
1,95,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,236,14,12,46,4,0,2,1,1,0,3,0,0,0,0
1,24,36,1,36,1,0,0,0,0,0,0,0,0,0,0
1,422,34,11,66,2,1,4,2,1,1,0,0,0,0,0
1,266,12,5,22,0,0,1,2,0,1,0,0,0,0,0
0,285,16,11,76,2,2,4,0,1,0,2,0,0,0,0
1,263,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,144,10,2,16,0,1,0,0,0,0,0,0,0,0,0
1,113,12,2,18,0,0,0,0,1,0,0,0,0,0,0
1,260,20,2,26,0,2,0,0,0,0,0,0,0,0,0
0,334,8,4,28,0,0,0,1,0,1,0,0,0,0,1
1,146,18,1,18,1,0,0,0,0,0,0,0,0,0,0
0,116,14,2,22,1,0,1,0,0,0,0,0,0,0,0
0,257,26,1,26,0,0,0,0,0,1,0,0,0,0,0
1,98,16,2,20,0,0,0,0,1,1,0,0,0,0,0
1,211,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,177,2,5,18,0,0,0,0,0,0,1,0,0,0,1
1,279,14,1,14,1,0,0,0,0,0,0,0,0,0,0
0,145,2,2,8,0,0,0,0,0,0,0,0,0,0,0
1,151,6,1,6,0,0,0,0,0,0,0,0,0,0,0
0,86,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,173,32,4,52,0,1,1,0,1,0,1,0,0,0,0
1,250,30,2,34,1,0,1,0,0,0,0,0,0,0,0
0,180,22,2,28,0,0,0,0,0,1,1,0,0,0,1
1,465,10,12,52,2,2,4,0,1,0,2,0,0,0,0
1,169,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1,213,32,9,60,1,1,4,1,1,1,0,1,0,0,0
0,248,28,2,30,0,1,0,0,0,1,0,0,0,0,0
1,235,16,2,24,0,0,1,0,1,0,0,0,0,0,0
1,148,8,7,36,1,0,1,1,0,0,0,1,0,0,0
1,282,14,2,20,0,0,2,0,0,0,0,0,0,0,0
1,386,10,9,44,2,2,1,0,0,0,1,0,0,0,0
1,198,16,2,18,0,1,0,0,0,1,0,0,0,0,0
1,237,14,1,14,1,0,0,0,0,0,0,0,0,0,0
1,170,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,200,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,217,16,1,16,0,0,0,1,0,0,0,0,0,0,0
0,218,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,200,16,2,18,0,0,0,0,1,1,0,0,0,0,0
1,378,2,10,56,2,1,1,1,2,1,1,1,1,1,1
1,185,16,6,32,1,0,1,2,0,1,1,0,0,0,0
1,51,18,2,26,0,0,1,0,1,0,0,0,1,0,0
1,159,32,2,40,0,0,0,0,0,1,1,0,0,0,0
1,59,22,2,30,0,1,1,0,0,0,0,0,0,0,0
1,142,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,266,12,2,18,0,1,0,0,0,0,0,0,0,0,0
1,329,14,5,24,2,1,0,1,0,0,1,0,0,0,0
1,51,12,2,20,0,0,0,0,0,0,1,0,0,0,0
0,233,10,10,56,2,0,2,0,1,0,2,0,0,0,1
0,307,36,2,44,0,0,0,0,1,0,1,0,0,0,0
0,188,16,8,48,0,0,4,2,0,0,2,0,0,0,0
0,347,16,8,42,3,0,2,2,0,1,0,0,0,0,0
1,428,16,10,76,3,1,3,0,1,1,1,1,0,1,0
0,203,8,2,14,0,0,1,0,0,0,0,0,0,0,0
1,292,6,11,62,3,0,2,0,1,0,3,0,0,0,0
1,127,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,205,4,4,26,1,0,1,0,0,1,0,0,0,0,1
1,88,4,4,26,1,0,0,1,0,0,0,0,0,0,0
1,62,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1,264,16,5,30,2,1,1,0,0,0,1,1,0,0,0
1,326,16,2,24,0,0,1,1,0,0,0,0,0,0,0
0,152,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1,98,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,166,2,2,8,0,0,0,0,0,0,0,0,0,0,0
0,192,34,2,40,1,1,0,0,0,0,0,0,0,0,0
1,217,2,2,4,0,0,0,0,0,0,0,0,0,0,0
0,69,10,4,22,1,0,0,1,0,0,0,0,0,0,0
1,206,22,1,22,0,0,0,0,0,0,1,0,0,0,0
1,176,8,6,30,0,0,2,0,2,0,0,0,0,0,0
0,29,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1,260,16,2,20,1,0,0,0,0,1,0,0,0,0,0
0,204,12,2,14,1,0,0,0,0,0,0,0,0,0,0
0,239,20,2,28,0,0,1,0,0,0,1,0,0,0,0
1,329,16,6,38,5,0,0,0,1,0,0,0,0,0,0
1,209,14,10,42,2,0,4,2,0,1,1,0,0,0,0
1,363,12,7,46,2,0,2,1,0,0,1,2,0,0,1
1,92,6,1,6,0,0,0,0,0,0,0,0,0,0,1
0,294,12,5,34,0,0,2,0,0,1,1,0,0,0,1
1,287,30,1,30,0,0,0,0,0,0,1,0,0,0,0
1,272,14,2,16,0,0,0,0,1,0,0,0,0,0,0
0,69,12,2,18,0,0,1,0,0,0,0,0,0,0,0
0,247,10,3,18,1,0,1,0,0,0,0,1,0,0,0
1,218,4,11,50,3,0,2,1,0,1,3,0,0,0,0
1,286,2,2,4,0,0,0,0,0,0,0,0,0,0,1
1,71,16,2,20,1,0,0,0,0,0,1,0,0,0,0
1,236,2,6,20,2,0,0,0,0,0,0,0,0,0,0
0,166,14,10,50,2,2,4,0,1,1,0,0,0,0,0
1,289,6,2,8,0,0,0,0,0,0,0,0,0,0,1
0,266,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,79,14,5,26,0,1,1,0,0,1,2,0,0,0,0
0,111,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,161,6,10,60,1,1,1,1,3,2,0,0,0,0,1
0,118,8,1,8,0,0,0,0,0,0,0,0,0,0,1
1,268,2,2,10,0,0,0,0,0,0,0,0,0,0,1
0,475,4,12,70,1,2,1,1,1,2,3,0,0,0,0
0,287,4,11,62,1,0,1,0,1,1,3,0,0,0,1
1,86,30,5,52,2,0,1,0,0,1,1,0,0,0,0
0,157,16,10,36,3,1,2,2,0,0,2,1,0,0,0
1,102,28,2,30,0,1,1,0,0,0,0,1,0,0,0
1,79,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,46,16,2,24,1,0,0,0,0,0,1,0,0,0,0
1,169,14,11,40,0,3,3,2,0,2,1,0,0,0,0
0,405,16,12,78,4,0,3,2,1,0,2,1,0,0,0
1,315,16,2,18,1,1,0,0,0,0,0,0,0,0,0
1,106,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,280,16,1,16,0,0,0,0,0,0,1,0,0,0,0
1,96,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1,106,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,99,22,4,32,1,0,2,0,1,0,0,0,0,0,0
0,26,26,1,26,1,0,0,0,0,0,0,0,0,0,0
0,199,22,2,28,0,0,1,0,1,0,0,0,0,0,0
0,225,12,8,42,2,0,2,0,1,0,1,1,0,0,0
1,276,12,5,26,1,1,1,1,0,0,0,0,0,0,0
1,110,4,7,30,1,0,1,1,1,1,0,0,0,0,0
1,215,16,6,34,1,0,1,1,0,2,1,0,0,0,0
1,56,16,1,16,0,0,0,0,0,1,0,0,0,0,0
1,121,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,398,12,8,50,1,1,0,0,1,1,2,0,0,0,1
0,62,30,1,30,0,0,0,0,0,0,1,0,0,0,0
1,25,34,1,34,0,1,0,0,0,0,0,0,0,0,0
0,193,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1,317,14,10,42,3,1,2,1,1,1,1,0,0,0,1
0,113,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1,144,30,1,30,0,0,0,1,0,0,0,0,0,0,0
0,82,30,1,30,0,0,0,1,0,0,0,0,0,0,0
1,175,14,1,14,0,0,0,0,0,0,0,0,0,0,0
1,181,8,11,48,2,0,3,2,1,2,0,0,0,0,0
1,243,2,8,48,0,0,0,1,3,2,0,0,0,0,1
1,132,6,2,10,0,0,0,0,0,0,0,0,0,0,0
1,287,26,1,26,0,1,0,0,0,0,0,0,0,0,0
1,221,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,275,16,6,38,4,1,0,1,0,0,0,0,0,0,0
1,327,18,4,36,0,1,1,1,0,0,1,0,0,0,0
1,199,20,1,20,1,0,0,0,0,0,0,0,0,0,0
0,272,12,2,14,0,0,0,0,1,0,0,0,0,0,0
0,153,18,2,22,0,0,0,0,0,0,2,0,0,0,0
1,144,16,1,16,0,0,0,0,0,0,1,0,0,0,0
1,223,12,2,16,0,0,1,0,0,0,0,0,0,0,0
1,287,4,3,16,0,1,0,0,0,0,0,0,0,0,0
1,255,8,8,50,3,1,1,0,0,0,2,0,0,0,1
1,313,10,4,22,2,0,0,0,1,0,0,0,0,0,0
1,255,8,11,40,0,0,4,1,1,1,1,1,1,1,0
1,187,6,1,6,0,0,0,0,0,0,0,0,0,0,1
1,133,14,2,22,1,0,1,0,0,0,0,0,0,0,0
1,253,2,4,14,1,0,0,0,0,0,0,0,0,0,0
1,194,10,5,34,1,0,1,0,1,0,1,0,0,0,0
1,192,16,2,20,1,0,1,0,0,0,0,1,0,0,0
1,126,6,2,8,0,0,0,0,0,0,0,0,0,0,0
1,398,34,11,82,1,1,2,2,1,0,4,0,0,0,0
1,216,16,2,24,0,0,0,0,0,1,1,0,0,0,0
0,161,2,5,18,1,0,0,0,0,0,0,0,0,0,0
1,259,32,7,72,1,0,5,0,1,0,0,1,0,0,0
1,218,14,4,30,0,2,1,0,1,0,0,1,1,0,0
1,81,30,2,32,1,0,0,0,0,0,1,0,0,0,0
1,216,2,12,52,2,0,1,1,1,1,2,0,0,0,0
1,384,4,11,68,3,0,3,1,1,0,2,0,0,0,0
0,93,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,374,12,11,34,1,1,2,1,1,0,0,0,0,0,0
1,199,14,1,14,1,0,0,0,0,0,0,0,0,0,0
0,168,16,2,20,0,0,1,0,0,1,0,0,0,1,0
1,222,14,1,14,0,0,0,1,0,0,0,0,0,0,0
1,189,18,3,32,0,1,0,0,1,1,0,0,1,0,0
1,321,32,2,38,1,0,0,0,0,1,0,0,0,0,0
1,256,14,12,54,2,1,2,3,0,2,2,0,0,0,0
1,435,28,11,64,2,1,1,4,0,2,1,0,0,0,0
0,48,4,2,8,0,0,0,0,0,0,0,0,0,0,0
1,368,14,12,74,2,0,4,3,0,2,1,2,0,2,0
1,19,24,1,24,0,0,0,0,0,1,0,0,0,0,0
1,338,14,6,30,1,0,2,1,0,1,1,0,0,0,0
0,185,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1,375,4,12,30,1,2,1,1,0,0,0,0,0,0,0
1,78,16,5,38,0,0,3,0,0,0,2,1,0,0,0
1,240,34,2,40,1,0,0,0,0,1,0,0,0,0,0
1,19,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1,144,4,5,22,1,0,0,0,0,0,0,0,0,0,0
0,155,16,4,26,2,0,1,1,0,0,0,0,0,0,0
